img_id,caption_id,caption,caption_ru
317330,405405,A man looking over his glasses with a tie and suspenders on.,Мужчина смотрит поверх очков в галстуке и подтяжках.
41011,333837,A man in an English suit and bowler riding a horse.,Мужчина в английском костюме и котелке верхом на лошади.
516239,255854,A truck driving down a street with men sitting on the roof.,"Грузовик едет по дороге с мужчинами, сидящими на крыше."
377809,507793,Two people with helmets riding motorcycle past pedestrian.,Два человека в шлемах едут на мотоцикле мимо пешехода.
28671,578713,A girl making weird face and holding a lighter.,Девушка делает странное лицо и держит зажигалку.
74037,791860,A woman and a man are dressed up as demons for a costume party.,Женщина и мужчина наряжены как демоны для костюмированной вечеринки.
111347,525958,A toddler smiles in front of a toy train set on a table.,"Малыш улыбается перед игрушечным поездом, стоящим на столе."
102439,663341,there is someone holding a remote in there hand,кто-то держит пульт в руке
384242,455129,A person is in the ocean setting up a windsurfing board.,Человек в океане устанавливает доску для виндсерфинга.
457322,677524,A man on a motorcycle outside in a black and white photo,Мужчина на мотоцикле на улице на черно-белом фото
83013,33877,An elephant is walking around its kept quarters on display.,Слон гуляет по своему загону у всех на виду.
262587,87600,A man riding a wave on top of a yellow surfboard.,Мужчина катается на волне на желтой доске для серфинга.
143320,120627,A group of surfers dressed in black riding small waves.,"Группа серферов, одетых в черное, катается на небольших волнах."
388829,372565,Woman and her dog tends to the herd of sheep,Женщина и ее собака пасут стадо овец
398438,384582,A person cutting a multi layer cake with a knife.,Человек режет многослойный торт ножом.
272599,593483,A man holding onto a surfboard and swimming.,Мужчина держится за доску для серфинга и плывет.
448998,63395,A little girl wearing protective gear rides a skateboard.,Маленькая девочка в защитном снаряжении катается на скейтборде.
337984,458987,A couple of sinks in a large room.,Пара раковин в большой комнате.
122467,596852,A close up of a person holding the Wii remote.,"Крупный план человека, держащего пульт Wii."
533137,233346,People preparing to snow ski atop a mountainside.,Люди готовятся кататься на лыжах на вершине горы.
568653,358332,A shiny black motorcycle with gleaming chrome is parked on a city sidewalk.,Блестящий черный мотоцикл с блестящим хромом припаркован на городском тротуаре.
455666,263911,"A young man, who is dressed formally, is posing for the camera. ",Молодой человек в официальной одежде позирует перед камерой.
